time,total_exp,weapon
0,125253,Event RPG
10,125521,Event RPG
20,125785,Event RPG
30,126045,Event RPG
40,126285,Event RPG
50,126497,Event RPG
60,126733,Event RPG
70,126945,Event RPG
80,127237,Event RPG
90,127517,Event RPG
100,127785,Event RPG
110,128017,Event RPG
120,128301,Event RPG
130,128561,Event RPG
140,128813,Event RPG
150,129045,Event RPG
160,129297,Event RPG
170,129561,Event RPG
180,129817,Event RPG
0,129817,Iron Scimitar
10,130085,Iron Scimitar
20,130297,Iron Scimitar
30,130497,Iron Scimitar
40,130693,Iron Scimitar
50,130869,Iron Scimitar
60,131093,Iron Scimitar
70,131313,Iron Scimitar
80,131505,Iron Scimitar
90,131745,Iron Scimitar
100,131949,Iron Scimitar
110,132153,Iron Scimitar
120,132353,Iron Scimitar
130,132597,Iron Scimitar
140,132821,Iron Scimitar
150,133045,Iron Scimitar
160,133237,Iron Scimitar
170,133461,Iron Scimitar
180,133685,Iron Scimitar
